algorithm,grid_rows,grid_cols,n_zones,n_candidate_edges,density,n_active_edges,seed,K,wall_s,mean_rel,p95_rel,max_rel,max_abs
matrix_squaring,5,5,25,116,0.5,58,0,2,5.566602339968085e-05,0.00554605710320906,0.0,0.7551749252544534,294.6428571428572
matrix_squaring,5,5,25,116,0.5,58,0,3,8.224998600780964e-05,9.290401111758935e-19,0.0,1.4997039101179216e-16,5.684341886080802e-14
matrix_squaring,5,5,25,116,0.5,58,0,4,0.00010945799294859171,9.290401111758935e-19,0.0,1.4997039101179216e-16,5.684341886080802e-14
matrix_squaring,5,5,25,116,0.5,58,0,5,0.00013691600179299712,9.290401111758935e-19,0.0,1.4997039101179216e-16,5.684341886080802e-14
matrix_squaring,5,5,25,116,0.5,58,0,6,0.000162916025146842,9.290401111758935e-19,0.0,1.4997039101179216e-16,5.684341886080802e-14
matrix_squaring,5,5,25,116,0.5,58,0,7,0.00018566602375358343,9.290401111758935e-19,0.0,1.4997039101179216e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,1,1,2.804095856845379e-05,0.6342064569083652,2.640244290967195,3.1428571428571432,1011.8085364459635
bellman_ford,5,5,25,116,0.5,58,1,2,5.2292016334831715e-05,0.06610382194700558,0.46747921114676705,1.805900559214961,611.0957062499251
bellman_ford,5,5,25,116,0.5,58,1,4,0.00010245799785479903,2.600743683521461e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,1,8,0.0002026669681072235,2.600743683521461e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,1,16,0.000404000049456954,2.600743683521461e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,1,24,0.0006032499950379133,2.600743683521461e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,1,32,0.0008052500197663903,2.600743683521461e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
matrix_squaring,5,5,25,116,0.5,58,1,1,2.662499900907278e-05,0.6342064569083652,2.640244290967195,3.1428571428571432,1011.8085364459635
matrix_squaring,5,5,25,116,0.5,58,1,2,5.2291026804596186e-05,0.002375146043419163,0.0,0.26120387496374137,88.38834764831842
matrix_squaring,5,5,25,116,0.5,58,1,3,7.687497418373823e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.5,58,1,4,0.00010191596811637282,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.5,58,1,5,0.00012770900502800941,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.5,58,1,6,0.0001531669986434281,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.5,58,1,7,0.0001775420387275517,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.5,58,2,1,2.8041016776114702e-05,0.5995828292193373,2.348059014717747,3.535714285714286,975.1968840942819
bellman_ford,5,5,25,116,0.5,58,2,2,5.216698627918959e-05,0.07921640067700889,0.6173659667195998,2.357142857142857,589.2857142857143
bellman_ford,5,5,25,116,0.5,58,2,4,0.00010254199150949717,7.700993883906125e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,2,8,0.0002169169601984322,7.700993883906125e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,2,16,0.00040541699854657054,7.700993883906125e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,2,24,0.0006039579748176038,7.700993883906125e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,2,32,0.0007734170067124069,7.700993883906125e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
matrix_squaring,5,5,25,116,0.5,58,2,1,2.4708977434784174e-05,0.5995828292193373,2.348059014717747,3.535714285714286,975.1968840942819
matrix_squaring,5,5,25,116,0.5,58,2,2,4.975002957507968e-05,0.006001774883933207,0.0,0.8088435547679608,294.6428571428571
matrix_squaring,5,5,25,116,0.5,58,2,3,7.337500574067235e-05,5.201487367042921e-19,0.0,1.5604462101128763e-16,5.684341886080802e-14
matrix_squaring,5,5,25,116,0.5,58,2,4,9.708304423838854e-05,5.201487367042921e-19,0.0,1.5604462101128763e-16,5.684341886080802e-14
matrix_squaring,5,5,25,116,0.5,58,2,5,0.00012020801659673452,5.201487367042921e-19,0.0,1.5604462101128763e-16,5.684341886080802e-14
matrix_squaring,5,5,25,116,0.5,58,2,6,0.00014395802281796932,5.201487367042921e-19,0.0,1.5604462101128763e-16,5.684341886080802e-14
matrix_squaring,5,5,25,116,0.5,58,2,7,0.00016700004925951362,5.201487367042921e-19,0.0,1.5604462101128763e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.75,87,0,1,2.6209047064185143e-05,0.5102853559288605,2.572806139253995,3.1428571428571432,1022.9426355005451
bellman_ford,5,5,25,116,0.75,87,0,2,4.9124995712190866e-05,0.017247293250598268,0.0,1.1799424058778103,416.68792462778697
bellman_ford,5,5,25,116,0.75,87,0,4,9.970902465283871e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,0,8,0.00019062496721744537,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,0,16,0.00037925003562122583,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,0,24,0.0005813339957967401,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,0,32,0.0007602910045534372,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,0,1,2.483295975252986e-05,0.5102853559288605,2.572806139253995,3.1428571428571432,1022.9426355005451
matrix_squaring,5,5,25,116,0.75,87,0,2,4.904199158772826e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,0,3,7.266696775332093e-05,0.0,0.0,0.0,0.0
